Date,Close
1993-01-29,43.94
1993-02-01,44.41
1993-03-01,45.19
1993-04-01,44.03
1993-05-03,45.22
1993-06-01,45.06
1993-07-01,44.84
1993-08-02,46.56
1993-09-01,45.94
1993-10-01,46.84
1993-11-01,46.34
1993-12-01,46.59
1994-01-03,48.22
1994-02-01,46.81
1994-03-01,44.59
1994-04-04,45.09
1994-05-02,45.81
1994-06-01,44.47
1994-07-01,45.91
1994-08-01,47.66
1994-09-01,46.17
1994-10-03,47.48
1994-11-01,45.59
1994-12-01,45.56
1995-01-03,47.09
1995-02-01,49.02
1995-03-01,50.11
1995-04-03,51.59
1995-05-01,53.64
1995-06-01,54.41
1995-07-03,56.16
1995-08-01,56.41
1995-09-01,58.48
1995-10-02,58.31
1995-11-01,60.91
1995-12-01,61.48
1996-01-02,63.67
1996-02-01,63.88
1996-03-01,64.69
1996-04-01,65.39
1996-05-01,66.88
1996-06-03,67.11
1996-07-01,64.09
1996-08-01,65.33
1996-09-03,68.63
1996-10-01,70.84
1996-11-01,76.02
1996-12-02,73.84
1997-01-02,78.41
1997-02-03,79.16
1997-03-03,75.38
1997-04-01,80.09
1997-05-01,85.16
1997-06-02,88.31
1997-07-01,95.31
1997-08-01,90.38
1997-09-02,94.38
1997-10-01,92.06
1997-11-03,95.63
1997-12-01,97.06
1998-01-02,98.31
1998-02-02,105.13
1998-03-02,109.94
1998-04-01,111.34
1998-05-01,109.03
1998-06-01,113.31
1998-07-01,111.78
1998-08-03,96.00
1998-09-01,101.75
1998-10-01,110.00
1998-11-02,116.13
1998-12-01,123.31
1999-01-04,127.66
1999-02-01,123.56
1999-03-01,128.38
1999-04-01,133.25
1999-05-03,130.20
1999-06-01,137.00
1999-07-01,132.75
1999-08-02,132.06
1999-09-01,128.75
1999-10-01,137.00
1999-11-01,139.28
1999-12-01,146.88
2000-01-03,139.56
2000-02-01,137.44
2000-03-01,150.38
2000-04-03,145.09
2000-05-01,142.81
2000-06-01,145.28
2000-07-03,143.00
2000-08-01,152.34
2000-09-01,143.63
2000-10-02,142.95
2000-11-01,132.28
2000-12-01,131.19
2001-01-02,137.02
2001-02-01,123.95
2001-03-01,116.69
2001-04-02,126.66
2001-05-01,125.95
2001-06-01,122.60
2001-07-02,121.35
2001-08-01,114.15
2001-09-04,104.44
2001-10-01,105.80
2001-11-01,114.05
2001-12-03,114.30
2002-01-02,113.18
2002-02-01,111.15
2002-03-01,114.52
2002-04-01,107.86
2002-05-01,107.22
2002-06-03,98.96
2002-07-01,91.16
2002-08-01,91.78
2002-09-03,81.79
